Loại KH,Tên Công Ty/Đơn Vị,Họ Tên Chủ,SĐT,Tỉnh,Quận/Huyện,Địa Chỉ,Nguồn,Thông Tin Chi Tiết,Khu vực
Đại lý,ĐẠI LÝ PHÁT ĐẠT,,983231670,TP. HCM,,,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ THUẬN THU,,976757839,TP. HCM,,KP thanh Bình,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ QUANG TRUNG,,877776456,TP. HCM,,QL14,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ TP WINDOW,,880956956,TP. HCM,,28 trần hữu độ,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ TP WINDOW,,917746379,TP. HCM,,540 QL14,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ TP WINDOW,,986991838,TP. HCM,,quốc lộ 13 ấp 1B,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ TP WINDOW,,975777259,TP. HCM,,phú nguyên,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ TP WINDOW,,919194162,TP. HCM,,quốc lộ 13 KP6,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ VIỆT PHÁT 3,,906777559,TP. HCM,,481 phạm văn đồng,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ LÊ PHÚC,,338119777,TP. HCM,,1617 nguyễn duy trinh,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ AN GIA HƯNG,,909776566,TP. HCM,,48 đường 22,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ ONE TOP ONE,,902645586,TP. HCM,,140 đường 42,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ QUỐC HUY GLASS,,949327921,TP. HCM,,1759 nguyễn duy trinh,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ BÌNH HÀ,,918087939,TP. HCM,,20 hiệp bình,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ THIÊN PHÚC,,938344667,TP. HCM,,19C tam bình,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ QUÝ ĐẠI PHÁT,,932536588,TP. HCM,,28 đường số 1,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ MINH CẢNH,,903724568,TP. HCM,,DT1-2A,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ TRUNG VIỆT,,903801399,TP. HCM,,114 tô ngọc vân,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ LÂM KÝ,,988828398,TP. HCM,,105 Bùi Thị Xuân,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ DUY SANG,,909665442,TP. HCM,,,Data tổng hợp,,Miền Nam
Đại lý,ĐẠI LÝ CÔNG NGHỆ CỬA H.A.G,,937584184,TP. HCM,,,Data tổng hợp,,Miền Nam
Đại lý,Mr Kiếm,,398242839,TP. HCM,,Ấp 3,Data tổng hợp,,Miền Nam
Đại lý,Vũ Xuân Thắng,,389518852,HN,,,Data tổng hợp,,Miền Bắc
Đại lý,ĐẠI LÝ MINH HƯNG DOOR,,902265708,HN,,"TDP Văn Phái, Phường Bạch Thượng, Duy Tiên, Hà Nam",Data tổng hợp,,Miền Bắc
Đại lý,AN PHONG,,916367129,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Ngọc Tài,,795614739,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Anh Khanh,,965769954,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Anh Kế,,934891183,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Tấn Tài,,934798793,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,KTS,,903167157,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,KTS,,913724913,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,KTS,,707953456,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,KTS,,868170629,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,KTS,,867171187,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,KTS,,369726793,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,An Phú,,984858819,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,An Phú,,905986139,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Vương Gia Phát,,901903336,Bình Định,,"Khu dân cư Diêu Trì - Tuy Phước, Bình Định, Bình Định",Data tổng hợp,,Miền Bắc
Đại lý,AT Door,,985212892,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Đông,,868159395,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Tiến Bảo,,777114599,Bình Định,,"Ngã ba Long Vân, Quy Nhơn",Data tổng hợp,,Miền Bắc
Đại lý,Hưng Thịnh,,904963219,Bình Định,,"Lê Duẩn, Đập Đá, An Nhơn, Bình Định, Bình Định",Data tổng hợp,,Miền Bắc
Đại lý,Trọng Tình,,938843828,Bình Định,,Ql1D,Data tổng hợp,,Miền Bắc
Đại lý,Trần Quốc,,969930009,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,anh Lân,,919183505,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Tiến Đạt,,935877879,Bình Định,,"Cát Chánh, Phù Cát, Bình Định",Data tổng hợp,,Miền Bắc
Đại lý,Đức Nguyên,,988569057,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,An Vương Door,,976716340,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Thành An,,906118056,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Ánh Dương,,972066554,Bình Định,,"Nhơn Bình, Quy NHơn, Bình Định",Data tổng hợp,,Miền Bắc
Đại lý,Ánh Dương,,972927873,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Anh Tuấn (chủ tịch hội cửa Bình Định),,914091928,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,TẤN NGỌC,,935766677,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Kim Phát,,779446999,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Kim Phát,,788446799,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Việt Hướng,,983574628,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Hữu Thịnh,,973987919,Gia Lai,,56/36 Ngô Gia Khảm,Data tổng hợp,,Miền Bắc
Đại lý,Ngô Vinh,,984671313,Gia Lai,,,Data tổng hợp,,Miền Bắc
Đại lý,Nhôm Gia Lai,,973008179,Gia Lai,,252 Nguyễn Tất Thành,Data tổng hợp,,Miền Bắc
Đại lý,NGUYÊN LONG VŨ,,905203645,Kon Tum,,,Data tổng hợp,,Miền Bắc
Đại lý,NGUYÊN LONG VŨ,,935626568,Kon Tum,,,Data tổng hợp,,Miền Bắc
Đại lý,anh Quân,,969920009,Gia Lai,,,Data tổng hợp,,Miền Bắc
Đại lý,ĐL nhôm kính 297 CMTT,,383373777,Gia Lai,,,Data tổng hợp,,Miền Bắc
Đại lý,Văn Thải Window,,971780439,Phú Yên,,,Data tổng hợp,,Miền Bắc
Đại lý,QUỐC AN,,907116336,Phú Yên,,,Data tổng hợp,,Miền Bắc
Đại lý,HOÀNG HƯNG (KHÁNH HÒA),,911700129,Khánh Hòa,,Tổ dân phố Hòa Do 6B,Data tổng hợp,,Miền Bắc
Đại lý,New Window NT ( Khánh Hoà),,968185115,Khánh Hòa,,169G Nguyễn Thị Định,Data tổng hợp,,Miền Bắc
Đại lý,TRẦN HÂN,,905353069,Khánh Hòa,,2 Tháng 4,Data tổng hợp,,Miền Bắc
Đại lý,THANH XUÂN,,933492859,Lâm Đồng,,Đường Cao Thắng,Data tổng hợp,,Miền Bắc
Đại lý,Thiên Phúc Door,,775666444,Khánh Hòa,,420 Lê Hồng Phong,Data tổng hợp,,Miền Bắc
Đại lý,Lê Đình Hoàng,,905389678,,,"Thủ Đức, Thủ Đức, TPHCM 2",Data tổng hợp,,Miền Bắc
Đại lý,Nguyễn Mậu Anh Quốc,,362761303,,,,Data tổng hợp,,Miền Bắc
Đại lý,TRUNG NGUYÊN,,935266345,Quảng Nam,,467 Phan Bội Châu,Data tổng hợp,,Miền Bắc
Đại lý,Nguyễn Thị Đào,,937266345,,,,Data tổng hợp,,Miền Bắc
Đại lý,THANH HUYỀN,,905548687,Quảng Ngãi,,743 Quang Trung,Data tổng hợp,,Miền Bắc
Đại lý,ĐL STD Bách Hóa,,905907939,TP Đà Nẵng,,171 Quách Thị Trang,Data tổng hợp,,Miền Bắc
Đại lý,HƯNG HOÀNG,,981428824,Quảng Ngãi,,Đường Bà Triệu,Data tổng hợp,,Miền Bắc
Đại lý,ĐL Công Thành Quảng Nam,,935903797,Quảng Nam,,704 Phan Chu Trinh,Data tổng hợp,,Miền Bắc
Đại lý,ĐL Việt Phong- Quảng Ngãi,,907866522,Quảng Ngãi,,545 Phan Đình Phùng,Data tổng hợp,,Miền Bắc
Đại lý,ĐL STD Việt Đức,,935269688,TP Đà Nẵng,,416 Tôn Đức Thắng,Data tổng hợp,,Miền Bắc
Đại lý,ĐL STD Trường Thành,,913138467,Quảng Nam,,53 Nguyễn Thị Định,Data tổng hợp,,Miền Bắc
Đại lý,Toàn Thịnh,,905666948,TP Đà Nẵng,,,Data tổng hợp,,Miền Bắc
Đại lý,Cơ Khí Hoàng Nhung,,918474499,TP Đà Nẵng,,Gia Tròn 1,Data tổng hợp,,Miền Bắc
Đại lý,Quảng Đà STD,,931738792,TP Đà Nẵng,,Đường Trường Sơn,Data tổng hợp,,Miền Bắc
Đại lý,Hưng Gia Bảo,,935065939,TP Đà Nẵng,,Hồ Tùng Mậu,Data tổng hợp,,Miền Bắc
Đại lý,Boss Đà Nẵng,,904678323,TP Đà Nẵng,,45 Vũ Trọng Phụng,Data tổng hợp,,Miền Bắc
Đại lý,Minh Châu,,905096468,TP Đà Nẵng,,10 Hòa Khánh,Data tổng hợp,,Miền Bắc
Đại lý,Song Khoa,,931993696,TP Đà Nẵng,,Đường 2/9,Data tổng hợp,,Miền Bắc
Đại lý,Hoàng Minh Window,,905516844,TP Đà Nẵng,,Thanh Lương,Data tổng hợp,,Miền Bắc
Đại lý,Hùng Nguyên,,917527515,Quảng Ngãi,,Nghĩa Điền,Data tổng hợp,,Miền Bắc
Đại lý,Patco,,935078286,TP Đà Nẵng,,"Lô 15 A2-2 Phường Hoà Xuân (qua cầu NTPhuong bên phải),Đà Nẵng,Đà Nẵng",Data tổng hợp,,Miền Bắc
Đại lý,Cường,,969236266,Gia Lai,,,Data tổng hợp,,Miền Bắc
Đại lý,ĐL ĐÌNH QUỐC - ĐẮK LẮK,,905771616,Đắk Lắk,,165 Ngô Quyền,Data tổng hợp,,Miền Bắc
Đại lý,ĐL ĐẠI TÂN THỊNH - ĐẮK LẮK,,905501404,Đắk Lắk,,số 20/6 Nguyễn Khoa Đăng,Data tổng hợp,,Miền Bắc
Đại lý,ĐL PROTECH DOOR - ĐẮK LẮK,,763135135,Đắk Lắk,,,Data tổng hợp,,Miền Bắc
Đại lý,Cửa Đẹp SAAGO,,847148148,Đắk Lắk,,473 Y Moan,Data tổng hợp,,Miền Bắc
Đại lý,Đại Long Phát,,945948948,Đắk Lắk,,,Data tổng hợp,,Miền Bắc
Đại lý,Đắk Hà,,868609609,Hà Huy Tập,,69 đường 10/3,Data tổng hợp,,Miền Bắc
Đại lý,Nam Eakao,,906504608,Đắk Lắk,,Buôn Kao,Data tổng hợp,,Miền Bắc
Đại lý,Đăng Lưu,,909990158,Đắk Lắk,,"59 Nguyễn Tất Thành, Thị trấn Buôn Trấp",Data tổng hợp,,Miền Bắc
Đại lý,Công Ty BẢO NGUYÊN,,949659599,Cưkuin,,,Data tổng hợp,,Miền Bắc
Đại lý,Nhôm Kính Hoàng Tài,,948259739,Đắk Lắk,,,Data tổng hợp,,Miền Bắc
Đại lý,Toàn Phát,,913898044,Đắk Lắk,,597 Lê Duẩn,Data tổng hợp,,Miền Bắc
Đại lý,Tiến Thành,,978282055,Phú yên,,Tt Chí Thạnh,Data tổng hợp,,Miền Bắc
Đại lý,Lê Gia Hưng,,908004305,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Đức Thương,,986260247,Bình Định,,Đề Gi,Data tổng hợp,,Miền Bắc
Đại lý,Hoàng Hưng,,937979333,Bình Định,,Tây Sơn,Data tổng hợp,,Miền Bắc
Đại lý,Huy Hoàng,,932553434,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Ngọc Danh,,984533928,Bình Định,,"Hoài Châu, Hoài Nhơn, Bình Định",Data tổng hợp,,Miền Bắc
Đại lý,Thanh Đồng,,984909545,Phú yên,,An Ninh Đông,Data tổng hợp,,Miền Bắc
Đại lý,Thanh Hữu,,984979301,Phú yên,,,Data tổng hợp,,Miền Bắc
Đại lý,Thành Kiên,,828285237,Phú yên,,,Data tổng hợp,,Miền Bắc
Đại lý,Toàn Phát,,912542687,Phú yên,,Thôn phú nông,Data tổng hợp,,Miền Bắc
Đại lý,Minh Thuận,,348118798,Phú yên,,"Tuy Hòa, Phú Yên, Phú Yên",Data tổng hợp,,Miền Bắc
Đại lý,Vạn Thành,,382888771,Phú yên,,,Data tổng hợp,,Miền Bắc
Đại lý,Hoàn Chỉnh,,926561117,Phú Yên,,Thị Trấn Củng Sơn,Data tổng hợp,,Miền Bắc
Đại lý,Minh Vũ,,915775144,Phú Yên,,Thị trấn Hai Riêng,Data tổng hợp,,Miền Bắc
Đại lý,Thành Kha,,967818515,Phú Yên,,,Data tổng hợp,,Miền Bắc
Đại lý,Trương Chi,,382486851,Phú Yên,,,Data tổng hợp,,Miền Bắc
Đại lý,Công Hậu,,902556059,Phú Yên,,,Data tổng hợp,,Miền Bắc
Đại lý,Thắng Lợi,,914034386,Quãng Ngãi,,Bà Triệu,Data tổng hợp,,Miền Bắc
Đại lý,Tiến Bảo,,377973140,Phú Yên,,,Data tổng hợp,,Miền Bắc
Đại lý,Ngọc  Phước,,374484614,Phú Yên,,,Data tổng hợp,,Miền Bắc
Đại lý,Minh Công,,399412216,Quãng Ngãi,,,Data tổng hợp,,Miền Bắc
Đại lý,Thanh Thiên,,932506591,Quãng Ngãi,,Đường Nguyễn Thuỵ,Data tổng hợp,,Miền Bắc
Đại lý,Dương Dinh,,935766027,Phú yên,,,Data tổng hợp,,Miền Bắc
Đại lý,Tiến Phong,,346825688,Phú yên,,Suối bạc,Data tổng hợp,,Miền Bắc
Đại lý,Hùng Window,,973985619,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Ngọc Nga,,326765779,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Hữu Việt,,977867149,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Minh Thiện,,366737252,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Đình Phong,,334860980,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Hoà Phát Đạt,,384608019,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Minh Thuận,,907024288,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Đức Hoà,,964414416,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Văn Lực,,985424714,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Văn Hạnh,,967743469,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Ngọc Thiên,,384077735,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Minh Cảnh,,969299329,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Văn Thiên,,902528785,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Ngọc Sơn,,345808468,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Minh Châu .,,982679222,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Chí Cường,,363268290,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Trung Hiền,,905040085,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Đức Kha,,914100815,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Nguyễn Khoan,,946334120,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Trọng Kính,,394222279,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Thiên Phú,,905395004,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Văn Tánh,,914068554,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Tiến Thịnh,,934737220,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Xuân Toàn,,939714777,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Hữu Việt,,763482262,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Xuân Chiến,,905340662,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Trường Bảy,,937553722,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Duy Phương,,932553772,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Hữu Tính,,932500068,Bình Định,,"Tây Sơn, Quy Nhơn",Data tổng hợp,,Miền Bắc
Đại lý,Thanh Bình,,797279868,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Trung Kiên,,393246499,Bình Định,,"Phước Sơn , Tuy Phước, Bình Định",Data tổng hợp,,Miền Bắc
Đại lý,Tấn Đạt,,985151077,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Văn Nhựt,,975656253,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Vũ Linh,,345444445,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Nguyên Nhân,,935148488,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Hoàn Kiếm,,962207648,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Ngô Tùng,,934990119,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Hà Vũ,,932099660,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Nguyên Phong,,935659663,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Hoàng Tuấn,,364073419,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Quốc Phong,,913837677,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Thanh Sang,,353666657,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Văn Khoa,,372706322,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,Thành Huy,,865944072,Bình Định,,,Data tổng hợp,,Miền Bắc
Đại lý,HOÀNG SƠN,,938704002,NINH THUẬN,,Thôn Long Bình 2,Data tổng hợp,,Miền Bắc
Đại lý,Tuấn Tú,,983154759,Gia Lai,,375 Phạm Văn Đồng,Data tổng hợp,,Miền Bắc
Đại lý,Nhất Bang Chư Sê,,947681135,Gia Lai,,"HÙNG VƯƠNG , Gia Lai, Gia Lai",Data tổng hợp,,Miền Bắc
Đại lý,Thành Luân,,349417777,Kon Tum,,,Data tổng hợp,,Miền Bắc
Đại lý,Hùng Liên,,931619579,Kon Tum,,150 Duy Tân,Data tổng hợp,,Miền Bắc
Đại lý,Tiến Đạt,,349749399,Kon Tum,,Đăk Bla,Data tổng hợp,,Miền Bắc
Đại lý,Dương Luân,,968732086,Kon Tum,,Phương Quý,Data tổng hợp,,Miền Bắc
Đại lý,Tài Long Vũ,,906146292,Kon Tum,,Tuyến N5-2 Làng Nghề,Data tổng hợp,,Miền Bắc
Đại lý,DH Plus,,898382888,Kon Tum,,318 Hùng Vương,Data tổng hợp,,Miền Bắc
Đại lý,AN PHÚ,,935977117,NINH THUẬN,,217 Đường Yên Ninh,Data tổng hợp,,Miền Bắc
Đại lý,Phương Tây,,979497155,Gia Lai,,,Data tổng hợp,,Miền Bắc
Đại lý,DL HƯNG THỊNH PHÁT,,868135992,Vĩnh Phúc,,"Bảng Trắng, Thôn Vân Nội, Xã Vân Hội, Huyện Tam Dương,  Tỉnh Vĩnh Phúc",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,HOÀNG PHƯƠNG,,987534798,Phú Thọ,,Khu Liên Phương - Phường Minh Phương - Thành phố Việt Trì -  Phú Thọ,Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Đình Lực,,969370668,Thái Nguyên,,"Khu Gang Thép,TP Thái Nguyên,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Kim Hoa,,386341008,Thái Nguyên,,"Thịnh Đán,TP Thái Nguyên,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Hồng Thuỷ,,911806232,Thái Nguyên,,"Khu Vó Ngựa,TP Thái Nguyên,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Liên Quyên,,983648777,Thái Nguyên,,"Tổ 2,Khu Gang Thép,TP Thái Nguyên,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Bắc Việt,,968345048,Thái Nguyên,,"Gia Sàng,TP Thái Nguyên,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Ngọc Thuý,,375753888,Thái Nguyên,,"Đắc Sơn,TP Phổ Yên,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Nam Thuý,,976596788,Thái Nguyên,,"Nam Tiến,TP Phổ Yên,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Nam Tiến,,919329226,Thái Nguyên,,"Tảo Địch , Tân Phú,TP Phổ Yên,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Điệp Hằng,,986689629,Thái Nguyên,,"Đông Cao,TP Phổ Yên,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Hà Quế,,912305300,Thái Nguyên,,"Sơn Cẩm,Phú Lương,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Hải Phương,,964904237,Thái Nguyên,,"Tổ 6, TT Trại Cau,Đồng Hỷ,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Thắng Mỵ,,982688050,Thái Nguyên,,"Phố Cò,TP Sông Công,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Quang Huy,,978464916,Thái Nguyên,,"Thanh Ninh,Phú Bình,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Tám Lập,,985926282,Thái Nguyên,,"Cầu Ca,Phú Bình,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Khanh Khoa,,988687152,Thái Nguyên,,"Lương Phú,Phú Bình,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Thân Thuý,,987486525,Thái Nguyên,,"Tân Khánh,Phú Bình,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Hoan Hồng,,984552828,Thái Nguyên,,"Thuần Pháp, Điền Thuỵ,Phú Bình,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Đức Tươi,,974897427,Thái Nguyên,,"Úc Sơn,Phú Bình,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Thành Thông,,975527369,Thái Nguyên,,"Thị trấn Chợ Chu,Định Hoá,Thái Nguyên",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Xuân Thành,,982065898,Bắc Kạn,,"Tổ 8, P. Phùng Chí Kiên,TP Bắc Cạn,Bắc Cạn",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Minh Huệ,,913822592,Cao Bằng,,"P. Hợp Giang,Tp Cao Bằng,Cao Bằng",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Kim Phúc,,914595565,Vĩnh Phúc,,"Vân Hội,Tam Dương,Vĩnh Phúc",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Hưng Thịnh Phát,,868357992,Vĩnh Phúc,,"Xóm mới,Vĩnh Tường,Vĩnh Phúc",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Nam Á,,395842999,Vĩnh Phúc,,"Thổ Tang,Vĩnh Tường,Vĩnh Phúc",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Nhôm Á Âu,,972303949,Vĩnh Phúc,,"P. Hội hợp,TP Vĩnh Yên,Vĩnh Phúc",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Chung Hưởng,,987525411,Vĩnh Phúc,,"Hưởng Lộc,Bình xuyên,Vĩnh Phúc",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Anh Hán,,987212646,Vĩnh Phúc,,"Cao Minh,TP Phúc Yên,Vĩnh Phúc",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Nam Sơn Thịnh,,975959336,Vĩnh Phúc,,"Thái Hoà,Lập Thạch,Vĩnh Phúc",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Hậu Huệ,,986801090,Vĩnh Phúc,,"Bàn Giản,Lập Thạch,Vĩnh Phúc",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Cử Lý,,968548238,Vĩnh Phúc,,"TDP3,TT Lập Thạch,Lập Thạch,Vĩnh Phúc",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Vương Đặng,,972547804,Phú Thọ,,"Minh Phương,TP Việt Trì,Phú Thọ",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Anh Cao,,976313162,Phú Thọ,,"Số 1425 Hùng Vương,TP Việt Trì,Phú Thọ",Data tổng hợp,,Miền Bắc
Đại lý,CT TNHH TM & DV HỒNG HÀ,,903494815,Phú Thọ,,"Hồng Hà,TP Việt Trì,Phú Thọ",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Xuân Ánh,,912708808,Phú Thọ,,"Dữu Lâu,TP Việt Trì,Phú Thọ",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Thu Thuỷ,,948059565,Phú Thọ,,"TT Yên Lập,Yên Lập,Phú Thọ",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Trưởng Tâm,,974383229,Phú Thọ,,"Tổ 3,Hoàng Xá,Thanh Thuỷ,Phú Thọ",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Thiện Huyền,,345422442,Phú Thọ,,"Đông Thành,Thanh Ba,Phú Thọ",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Long Thơm,,335681878,Phú Thọ,,"Yên Khê,Thanh Ba,Phú Thọ",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Đăng Thuý,,973413326,Phú Thọ,,"Quang Húc,Tam Nông,Phú Thọ",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Xuân Định,,348198589,Phú Thọ,,"Tiên Phú,Phù Ninh,Phú Thọ",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Sinh Ngọc,,967077351,Phú Thọ,,"Phù Lộc,Phù Ninh,Phú Thọ",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Chính Luyến,,913340469,Phú Thọ,,"Tiên Kiên,Lâm Thao,Phú Thọ",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Hoàng Tuấn,,915189123,Phú Thọ,,"Sóc Đăng,Đoan Hùng,Phú Thọ",Data tổng hợp,,Miền Bắc
Đại lý/Khách lẻ,Thông Dung,,914262911,Phú Thọ,,"Tiêu Sơn,Đoan Hùng,Phú Thọ",Data tổng hợp,,Miền Bắc
